Município,Classificação,Funcionarios
Munhoz,Entretenimento,6
Munhoz,Agência e Operadores,1
Muzambinho,Comércio e Serviços,35
Muzambinho,Transportes,10
Muzambinho,Hospedagem,6
Muzambinho,Alimentação,139
Muzambinho,Entretenimento,19
Muzambinho,Agência e Operadores,2
Monte Sião,Transportes,32
Monte Sião,Alimentação,61
Monte Sião,Entretenimento,34
Monte Sião,Comércio e Serviços,53
Monte Sião,Agência e Operadores,0
Monte Sião,Hospedagem,107
Natércia,Comércio e Serviços,1
Natércia,Transportes,1
Natércia,Hospedagem,1
Natércia,Alimentação,0
Natércia,Entretenimento,4
Natércia,Agência e Operadores,0
Nova Resende,Entretenimento,14
Nova Resende,Transportes,14
Nova Resende,Comércio e Serviços,24
Nova Resende,Agência e Operadores,0
Nova Resende,Hospedagem,3
Nova Resende,Alimentação,20
Olímpio Noronha,Comércio e Serviços,15
Olímpio Noronha,Transportes,0
Olímpio Noronha,Hospedagem,0
Olímpio Noronha,Alimentação,0
Olímpio Noronha,Entretenimento,2
Olímpio Noronha,Agência e Operadores,0
Ouro Fino,Transportes,27
Ouro Fino,Comércio e Serviços,121
Ouro Fino,Entretenimento,70
Ouro Fino,Agência e Operadores,1
Ouro Fino,Hospedagem,119
Ouro Fino,Alimentação,153
Passa Quatro,Hospedagem,189
Passa Quatro,Transportes,26
Passa Quatro,Alimentação,79
Passa Quatro,Entretenimento,23
Passa Quatro,Comércio e Serviços,20
Passa Quatro,Agência e Operadores,0
Paraguaçu,Transportes,13
Paraguaçu,Hospedagem,35
Paraguaçu,Entretenimento,33
Paraguaçu,Comércio e Serviços,59
Paraguaçu,Agência e Operadores,2
Paraguaçu,Alimentação,71
Passa Vinte,Comércio e Serviços,0
Passa Vinte,Transportes,0
Passa Vinte,Hospedagem,0
Passa Vinte,Alimentação,1
Passa Vinte,Entretenimento,1
Passa Vinte,Agência e Operadores,0
Pedralva,Entretenimento,4
Pedralva,Transportes,13
Pedralva,Hospedagem,0
Pedralva,Alimentação,26
Pedralva,Comércio e Serviços,6
Pedralva,Agência e Operadores,0
Passos,Transportes,292
Passos,Comércio e Serviços,462
Passos,Entretenimento,488
Passos,Alimentação,959
Passos,Agência e Operadores,16
Passos,Hospedagem,188
Piranguçu,Comércio e Serviços,0
Piranguçu,Transportes,21
Piranguçu,Alimentação,26
Piranguçu,Entretenimento,1
Piranguçu,Hospedagem,1
Piranguçu,Agência e Operadores,0
Piranguinho,Transportes,5
Piranguinho,Hospedagem,17
Piranguinho,Entretenimento,2
Piranguinho,Comércio e Serviços,31
Piranguinho,Agência e Operadores,0
Piranguinho,Alimentação,96
Poço Fundo,Comércio e Serviços,16
Poço Fundo,Transportes,2
Poço Fundo,Alimentação,11
Poço Fundo,Entretenimento,7
Poço Fundo,Agência e Operadores,2
Poço Fundo,Hospedagem,1
Poços de Caldas,Transportes,797
Poços de Caldas,Agência e Operadores,51
Poços de Caldas,Entretenimento,428
Poços de Caldas,Hospedagem,1632
Poços de Caldas,Alimentação,2271
Poços de Caldas,Comércio e Serviços,787
Santa Rita de Caldas,Entretenimento,12
Santa Rita de Caldas,Transportes,0
Santa Rita de Caldas,Hospedagem,2
Santa Rita de Caldas,Alimentação,10
Santa Rita de Caldas,Comércio e Serviços,5
Santa Rita de Caldas,Agência e Operadores,0
Pouso Alto,Transportes,6
Pouso Alto,Comércio e Serviços,9
Pouso Alto,Alimentação,63
Pouso Alto,Entretenimento,5
Pouso Alto,Agência e Operadores,0
Pouso Alto,Hospedagem,127
Pratápolis,Comércio e Serviços,19
Pratápolis,Transportes,1
Pratápolis,Hospedagem,1
